"Book_ID","Title","Release_Date","Location"
632782597,YEAR'S BEST FANTASY STORIES 2,1976,???
633199459,Les hommes stellaires,1974,???
639331154,WALDEN WEST,1961,???
641902420,The Demon in the Mirror (War of the Wizards #1),,???
646683402,The Age of Fable.,1965,???
654046371,Countryman's Journal,1963,???
663419831,JOHN CARTER OF MARS (MARS #11 - GINO D'ACHILLE COVER),1978,???
668694395,GREAT EXPECTATIONS by CHARLES DICKENS; MITSU YAMAMOTO,,???
668798517,Beyond the Gates of Dream; Science Fiction #2,1969,???
679028930,THEY CAME TO BAGHDAD,1960,???
684210019,The Shadow in The Glass,1964,???
685589763,Legends of Charlemagne; or Romance of the Middle Ages,,???
685643996,THONGOR OF LEMURIA,1966,???
693211832,Judge Tenderly of Me - The Poems of Emily Dickinson,1968,???
693244008,COUNTRY GROWTH: Short stories.,1940,???
693433208,GINGER STAR,1974,???
696365455,Egyptian Magic,1971,???
720184571,"13 West Street",1962,???
720784757,H.P. Lovecraft and Others:Tales of the Cthulhu Mythos Volume II,1971,???
724617700,The Mummy: a history of the extraordinary practices of Ancient Egypt,,???
724618007,The Mummy: a history of the extraordinary practices of Ancient Egypt,,???
725518600,Alpha Centauri sehen und sterben,1978,???
725518601,Alpha Centauri sehen und sterben,1978,???
731552263,FLASHING SWORDS #4; BARBARIANS AND BLACK MAGICIANS,1977,???
732859854,"Emerson, Our Contemporary",1970,???
733629620,The Adventure of the Snitch in Time,1954,???
735308510,THE HOUSE ON THE MOUND,1958,???
744252203,The Tale/ The Graphic Summer Number. 1894,1894,???
744381506,GREAT EXPECTATIONS by CHARLES DICKENS,,???
749002592,Red Moon and Black Mountain,1971,???
755646723,Shadow in the Glass,1964,???
758139714,New Worlds for Old,1963,???
758566054,Super Science Stories (CANADIAN) 1942 Vol. 01 # 01 August (FIRST ISSUE): Cross of Mercrux / The Wicked People / Child of the Green Light / Spaceship from Korl / Atrakin and the Man / The Waters Under the Earth / Pendulum,1942,???
758566061,Super Science Stories (CANADIAN) 1944 Vol. 01 # 11 April: His Aunt Thiamin / Cabal / Cube from Space / Nothing / Exile / The Sky Will be Ours / The Hunted Ones,1944,???
758781815,FAR BOUNDARIES,1967,???
759353115,THE ENCHANTRESS OF WORLD'S END,1975,???
760022861,"Tutankhamen: Anenism, Atenism and Egyptian Monotheism",1978,???
760373109,Sherlock Holmes' Greatest Cases,1966,???
760983711,The Survivor & Others,1971,???
761348960,Egyptian Language: Easy Lessons in Egyptian Hieroglyphics With Sign List,1966,???
765765850,BARBARIANS AND BLACK MAGICIANS: FLASHING SWORDS #4 by LIN CARTER (EDITOR),,???
765765851,BARBARIANS AND BLACK MAGICIANS: FLASHING SWORDS #4 by LIN CARTER (EDITOR),,???
767170136,"History of the Revolutions in Europe from the Subversion of the Roman Empire in the West Till the Abdication of Bonaparte from the French of C. W. Koch, Vol 3 Only",1828,???
767192230,The Monk and the Hangman's Daughter,1967,???
770023534,"THRILLING WONDER STORIES (Pulp magazine. February,1950) 'Payment in Full' by Ray Bradbury / 'Spectator Sport' by John D. MacDonald / 'The Voice of the Lobster' by Henry Kuttner.",1950,???
773216652,The Dwellers on the Nile,1977,???
776876776,"If Worlds of Science Fiction Volume 1 #3, July 1952",1952,???
778977190,The Man Without a Planet/Time to Love,1966,???
780275740,Egyptian Language: Easy Lessons in Egyptian Hieroglyphics with Sign List,1978,???
792263721,Dead Man's Folly,1974,???
792263735,Death in the Air,1962,???
794438923,A POCKET FULL OF RYE,1963,???
794446109,"IF Worlds of Science Fiction: April, Apr. 1967 ('The Road to the Rim')",,???
794447540,"IF Worlds of Science Fiction: (March, Mar. /) April, Apr. 1974 ('The Ginger Star')",1974,???
802060872,Ragnarok: The Age of Fire and Gravel,1970,???
804133190,"Næringsretten i Hovedtræk. Industri, Haandværk og Handel. Tredje Udgave.",,???
806147341,The Evil That Men Do/The Purloined Planet,1969,???
806675088,The Book of the Dead - The Papyrus of Ani,1967,???
807199071,Et halvthundrede år mellem bøger.,,???
807200498,Babylonian Life and History,1975,???
808361870,NORTHANGER ABBEY by JANE AUSTEN,,???
808461985,GREAT STORIES OF SHERLOCK HOLMES by SIR ARTHUR CONAN DOYLE,,???
808477195,Bright Journey,1940,???
808913060,Countryman's Journal,1963,???
811555848,"Gods and Elementals : Articles By H.P. Blavatsky : Elementals, Thoughts on the Elementals",,???
815969151,Village Daybook: A Sac Prairie Journal,1947,???
817963113,From Other Worlds,1964,???
820457780,The Coming of the Terrans,1967,???
821217069,Shadow in the Glass,1964,???
821458006,The Hounds of Skaith,1974,???
821601485,Wisconsin Country A Sac Prairie Journal,1965,???
821601486,Wind Leans West,1969,???
821762810,STARTLING STORIES NO 6(1951): British Edition,1951,???
822212931,THE GOD OF THE WITCHES,1960,???
823293040,Bulfinchs Mythology - The Age of Fable The Age of Chivalry Legends of Charlemagne,1969,???
823826796,When the Green Star Calls,1973,???
823826802,The Man Who Loved Mars,1973,???
823826811,The Quest of Kadji,1971,???
823826821,Down to a Sunless Sea,1978,???
825365343,Worlds of Tomorrow,1963,???
827075202,Bright Journey,1940,???
827315172,The Hound of the Baskervilles,1969,???
828330343,For Love of Her.,,???
