"Book_ID","Binding","Grade"
1006601866,hardcover,fine / like new
1006965354,magazine,good
1007885721,paperback,fine / like new
1008300612,paperback,good
1008582606,soft cover,good
1008848992,hardcover,fine / like new
1014249481,,
1014397067,hardcover,
1014937727,hardcover,
1014957855,hardcover,good
1017781630,,fine / like new
1020963208,paperback,fine / like new
1021583698,paperback,fine / like new
1022547207,paperback,good
1023027183,paperback,fine / like new
1025548184,hardcover,fine / like new
1026835281,paperback,good
1026868295,soft cover,
1028273705,hardcover,fine / like new
1028770198,soft cover,fine / like new
1031685420,soft cover,
1036123931,soft cover,
1036460214,soft cover,
1038427768,soft cover,
1038934643,hardcover,fine / like new
1039445753,magazine,fine / like new
1040848197,,good
1041636404,magazine,fine / like new
1041647386,paperback,fine / like new
1042246748,magazine,fine / like new
1046695037,hardcover,fine / like new
1046762509,paperback,good
1047913592,hardcover,fine / like new
1050076925,,
1054562001,hardcover,
1055037012,paperback,near fine
1058066057,hardcover,fine / like new
1060238183,paperback,good
1071473868,wraps,fine / like new
1072664671,,fine / like new
1076729864,hardcover,
1076999843,paperback,fine / like new
1077075237,paperback,fine / like new
1079963639,cloth / hardboard,good
1083466282,,fair
1091594701,wraps,fine / like new
1094685496,hardcover,fine / like new
1097515163,soft cover,good
1101343315,paperback,
1101879174,magazine,fine / like new
1102094449,wraps,fine / like new
1102141209,soft cover,fine / like new
1112113673,soft cover,good
1112938151,paperback,
1115359369,magazine,fine / like new
1116717860,,
1116721741,soft cover,
1128066401,hardcover,fine / like new
1128435369,soft cover,fine / like new
1137950842,soft cover,fine / like new
1139478956,hardcover,fine / like new
1141989696,hardcover,fair
1144957912,cloth / hardboard,fine / like new
1155180904,hardcover,fine / like new
1155225701,hardcover,good
1156131012,soft cover,
1156131364,wraps,fine / like new
1156641185,soft cover,fine / like new
1157180366,soft cover,
1157181329,soft cover,
1157181464,soft cover,
1157901907,paperback,good
1158811404,paperback,good
1159217683,magazine,fine / like new
1159562664,paperback,fine / like new
1159583064,leather,good
1161155278,soft cover,good
1161916653,paperback,good
1162819276,paperback,
1163126018,soft cover,fine / like new
1164652848,paperback,fine / like new
1165631406,hardcover,fine / like new
1166217257,soft cover,good
1167839056,paperback,fine / like new
1171065231,soft cover,
1171065240,soft cover,
1173875456,soft cover,
1174435693,soft cover,good
1174609542,magazine,fine / like new
1174641502,hardcover,fine / like new
1174641597,wraps,good
1175966145,paperback,fine / like new
1178876540,soft cover,
1180993472,hardcover,fine / like new
1181077062,cloth / hardboard,near fine
1181159686,soft cover,good
1189031272,unknown binding,fine / like new
1189096663,paperback,good
1189239795,hardcover,good
1189938012,hardcover,
1190707329,hardcover,fine / like new
1192965515,hardcover,
1193528826,hardcover,good
1197931021,paperback,fine / like new
1197960674,hardcover,
1205202587,paperback,
1205697635,cloth / hardboard,
1207397416,soft cover,good
1213047026,hardcover,fine / like new
1218527692,hardcover,
1223705332,soft cover,good
1227066368,hardcover,
1227066372,hardcover,
1228530097,cloth / hardboard,
1229370967,soft cover,fine / like new
1229538135,hardcover,fine / like new
1229827197,hardcover,good
1231828374,hardcover,fine / like new
1233884209,cloth / hardboard,fine / like new
1236210195,hardcover,fair
1236247631,soft cover,good
1236548815,hardcover,fine / like new
1237422408,paperback,fine / like new
1239335062,paperback,fine / like new
1240598454,hardcover,
1242412807,cloth / hardboard,
1242678490,cloth / hardboard,
1244701135,hardcover,
1245833238,,
1256206301,paperback,fine / like new
1257848789,hardcover,
1262141130,paperback,fair
1262336806,soft cover,good
1264738702,hardcover,good
1266713163,unknown binding,good
1269423834,soft cover,fine / like new
1270293452,hardcover,
1270420421,paperback,fine / like new
1271852724,paperback,fine / like new
1274398111,hardcover,
1276326196,,good
1276784269,,
1278465886,paperback,fair
1279220374,paperback,good
1279220376,paperback,good
1284941630,unknown binding,new
1284941646,unknown binding,new
1285575094,soft cover,fair
1285607493,soft cover,fine / like new
1286173022,wraps,fine / like new
1288786367,paperback,good
1291114339,,fair
1291625187,paperback,near fine
1293154510,paperback,near fine
1296020777,hardcover,good
1296902590,paperback,fair
1298543009,soft cover,good
1300068323,soft cover,
1302998503,hardcover,fine / like new
1304500422,hardcover,good
1308458766,unknown binding,good
1308467866,soft cover,
1309179668,hardcover,
1309268661,unknown binding,good
1310569963,hardcover,good
1311560672,paperback,good
1312111667,magazine,fine / like new
1314771778,,good
1314771786,,good
1318327241,hardcover,good
1324114817,soft cover,fine / like new
1329938317,paperback,fine / like new
1329938318,paperback,fine / like new
1329938319,paperback,fine / like new
1329938320,paperback,fine / like new
1329938321,paperback,fine / like new
1331850442,paperback,fine / like new
1332186599,hardcover,good
1337823384,soft cover,near fine
1345714886,hardcover,
1351487911,hardcover,
1353737089,hardcover,fine / like new
1355147774,hardcover,good
1355866045,unknown binding,fine / like new
1356103147,hardcover,fine / like new
1358285594,hardcover,good
1362280519,magazine,fine / like new
1362660776,hardcover,fine / like new
1365327675,magazine,good
1367851103,,good
1368030828,soft cover,
1368486363,paperback,fine / like new
1368818196,soft cover,good
1368864025,soft cover,good
1368864027,soft cover,fair
1371720116,magazine,fine / like new
1372697973,hardcover,
1373418437,paperback,fine / like new
1377092612,,good
1377123325,paperback,fair
1378529221,hardcover,fine / like new
1385160002,,
1392905679,hardcover,fine / like new
1394872876,paperback,fine / like new
1394920557,paperback,fine / like new
1396365945,hardcover,
1399052657,hardcover,fine / like new
1399292906,,
1399292907,soft cover,
1400760568,hardcover,fair
1405648593,paperback,fine / like new
1408774154,paperback,near fine
1409090477,paperback,fair
1409595508,magazine,good
1409893345,paperback,good
1410348411,,fair
1413453361,soft cover,good
1416199206,soft cover,fine / like new
1416983867,magazine,fine / like new
1417796350,,good
1418092990,soft cover,
1422807600,hardcover,good
1425179731,hardcover,good
1425197655,hardcover,good
1425230416,hardcover,good
1427386843,hardcover,fine / like new
1428681247,paperback,fair
1428828955,paperback,good
1453394590,paperback,near fine
1472955007,wraps,fine / like new
1516574962,paperback,good
1535140018,paperback,fair
1550125451,paperback,good
1603583007,cloth / hardboard,fine / like new
1676969925,,
1738430087,hardcover,good
1752765559,cloth / hardboard,fine / like new
1775176990,hardcover,
1803134620,hardcover,
1805821078,soft cover,
1812094786,hardcover,fine / like new
1856191637,,good
1865187273,,good
1876379322,soft cover,
1911569602,hardcover,fine / like new
1936768247,paperback,good
1936768266,paperback,fine / like new
1945206117,soft cover,good
1945206488,soft cover,good
1945206942,soft cover,good
1945207067,soft cover,good
1945207096,soft cover,good
1945207223,soft cover,good
1945207404,soft cover,good
1945207438,soft cover,good
1958318699,soft cover,good
1958318849,soft cover,good
1958318850,soft cover,good
1958318852,soft cover,good
1960367911,paperback,fine / like new
1971730398,wraps,fine / like new
1978280450,soft cover,good
1979534143,,
1993243968,paperback,fine / like new
2000944092,paperback,near fine
2025462087,cloth / hardboard,
2035605341,wraps,fine / like new
2052127905,,
2052127906,,
2076807927,paperback,fine / like new
2099463407,unknown binding,good
2102680070,magazine,fine / like new
2102680072,magazine,fine / like new
2135347146,cloth / hardboard,
2154647721,,fine / like new
2167109007,wraps,good
2189498640,paperback,
2195879888,hardcover,fine / like new
2203113854,hardcover,fine / like new
2203715682,soft cover,fine / like new
2212389845,paperback,good
2216973779,soft cover,good
2229801668,hardcover,good
2337216202,hardcover,fine / like new
2407602013,hardcover,fine / like new
2408526594,,
2454295724,hardcover,good
2455157527,,good
2457405014,soft cover,fine / like new
2472136841,hardcover,near fine
2473960297,soft cover,fine / like new
2483398492,unknown binding,good
2499489018,cloth / hardboard,fine / like new
2520829699,cloth / hardboard,fine / like new
2576484389,paperback,fine / like new
2585363632,,good
2589692468,soft cover,
2609856368,paperback,fair
2624672734,paperback,fine / like new
2638207388,soft cover,fine / like new
2638836678,soft cover,fine / like new
2660201434,hardcover,fine / like new
2660202863,paperback,fine / like new
2668030251,hardcover,good
2670096001,leather,good
2671035441,paperback,fine / like new
2702982500,paperback,fine / like new
2709164695,,fair
2713065618,hardcover,fine / like new
2713759101,hardcover,good
2762372408,hardcover,fine / like new
2780155689,soft cover,good
2786898050,hardcover,fine / like new
2795335604,hardcover,fine / like new
2795338706,paperback,fine / like new
2795338708,paperback,new
2795338709,paperback,fine / like new
2795338710,paperback,new
2795338714,paperback,good
2808967626,,fair
2841519123,magazine,fine / like new
2845020489,paperback,fine / like new
2845020490,paperback,fine / like new
2845020491,paperback,fine / like new
2845020492,paperback,fine / like new
2846955772,magazine,fine / like new
2852738685,hardcover,
2901541692,,good
2916477462,hardcover,fair
2954452664,paperback,good
2992155377,paperback,good
2992155379,paperback,good
2992155380,paperback,good
2992155501,paperback,good
3001480206,cloth / hardboard,fine / like new
3004369455,paperback,fine / like new
3017673348,paperback,fine / like new
3031537824,paperback,good
3054593465,hardcover,new
3065816212,paperback,fine / like new
3079620522,paperback,fine / like new
3104411390,hardcover,
3104956734,hardcover,
3135114567,soft cover,good
3138995868,cloth / hardboard,fair
3152437341,paperback,fine / like new
3158071137,paperback,fine / like new
3187587517,hardcover,
3192622214,paperback,good
3205896145,paperback,good
3209889895,unknown binding,fine / like new
3226590185,paperback,fine / like new
3230268196,soft cover,near fine
3230268197,soft cover,near fine
3230268198,soft cover,fine / like new
3242361319,paperback,good
3260924086,hardcover,good
3267433599,soft cover,
3303948577,,near fine
3352210933,soft cover,
3353422260,hardcover,
3365697142,paperback,good
3367383210,soft cover,fine / like new
3401872846,hardcover,good
3444423462,paperback,good
3473387368,hardcover,
3486692730,soft cover,
3486692753,soft cover,
3545689081,soft cover,good
3547448912,soft cover,good
3576522085,paperback,fair
3582833122,soft cover,fair
3583099184,,
3596470670,magazine,near fine
3608630095,hardcover,good
3608642811,paperback,fine / like new
3646351457,hardcover,near fine
3654291430,wraps,fine / like new
3678886360,paperback,fine / like new
3685474423,paperback,fine / like new
3710950034,paperback,good
3726414581,hardcover,
3789839619,paperback,good
3828386155,soft cover,fine / like new
3834792329,hardcover,
3841318070,,good
3860475444,cloth / hardboard,fine / like new
3876264608,paperback,good
3876264609,paperback,good
3876264610,paperback,good
3876264612,paperback,good
3876264613,paperback,good
3879449256,hardcover,
3879462260,hardcover,
3879464988,soft cover,
3879465545,hardcover,
3890332555,paperback,fine / like new
3908620809,,
3942794262,soft cover,
3942794264,soft cover,
3960492432,hardcover,
3965984540,soft cover,
3982214550,soft cover,near fine
4012924271,hardcover,fine / like new
4055674208,hardcover,fine / like new
4165427024,paperback,fine / like new
4234295003,hardcover,near fine
4250500014,hardcover,fine / like new
4267747620,,
4271573849,,good
4285032067,hardcover,
4305883377,paperback,good
