"Book_ID","Language"
4438884272,English
4438884273,English
4438884571,English
4438884572,English
4438884573,English
4438884574,English
4438884576,English
4439321814,English
4448639878,English
4467401805,English
4509639548,English
4514284558,English
4554975104,English
4567263236,English
4569840189,English
4576208257,English
4584148713,English
4615052891,English
4616688787,English
4641067196,English
4666573473,English
4695783262,English
4701970985,English
4720968582,English
4724713287,English
4749795714,English
4749812165,English
4763916831,English
4763916832,English
4785261960,English
4792327496,English
4800293611,English
4805197435,English
4818056145,English
4818056153,English
4818056178,English
4824511525,English
4838701192,English
4880340257,English
4914325028,English
4921229909,English
4956504932,English
4974553488,English
4991810375,English
5011564050,English
5064367115,English
5064367117,English
5064367118,English
5076863241,English
5076863242,English
5161354242,English
5192727387,English
5228371536,English
5233089685,English
5239560997,English
5269592818,English
5290740989,English
5323396518,English
5334849969,English
5334849970,English
5338005399,English
5370188045,English
5375656622,English
5428788399,English
5434713188,English
5434713189,English
5434713197,English
5434713202,English
5467319714,English
5467321453,English
5467323009,English
5467323428,English
5467327675,English
5467327846,English
5467328155,English
5467333100,English
5467347098,English
5467358866,English
5467365175,English
5467367405,English
5467383631,English
5467385188,English
5467385189,English
5467386917,English
5467409062,English
5467418592,English
5467419940,English
5467437113,English
5467441452,English
5467442033,English
5467442034,English
5472013939,English
5482095359,English
5484830767,English
5484830768,English
5484830769,English
5484830778,English
5484830779,English
5484830786,English
5484849816,English
5496144692,English
5520433609,English
5526908200,English
5537434218,English
5553529966,English
5560785440,English
5609937940,English
5629019185,English
5629020004,English
5633282540,English
5634516588,English
5635577810,English
5635585085,English
5642072649,English
5642072658,English
5642072660,English
5668269971,English
5694445511,English
5709075621,English
5709075622,English
5710512365,English
5711479575,English
5732284408,English
5749388234,English
5758022986,English
5766052571,English
5772671629,English
5809421567,English
5812643104,English
5812643106,English
5832979961,English
5833679569,English
5834791679,English
5842597554,English
5848925628,English
5852671442,English
5862694474,English
5870450785,English
5894949644,English
5915384045,English
5930892391,English
5939306856,English
5971880238,English
5985387028,English
6004087170,English
6009877403,French
6021818281,English
6021822031,English
6021822032,English
6034491856,English
6034491857,English
6091512873,English
6094349239,English
6105381517,English
6129360905,English
6129361564,English
6176736642,English
6185623518,English
6253994234,English
6264532291,English
6270823381,English
6281847943,English
6289006299,English
6327898888,English
6342888920,English
6350492321,English
6455009425,English
6505706080,English
6517942901,English
6524692891,English
6538546034,English
6552240901,English
6557239966,English
6582538387,English
6583949028,English
6583949033,English
6621191428,English
6667787725,English
6667790032,English
6671606916,English
6692559499,English
6720955321,English
6754071634,English
6763389530,English
6774801580,English
6774802303,English
6774803544,English
6774804172,English
6774804602,English
6774816150,English
6774816300,English
6774817641,English
6774819395,English
6774820850,English
6774823269,English
6774826624,English
6774826990,English
6774827912,English
6774827957,English
6774831461,English
6793087050,English
6816452360,English
6852173344,English
6901705092,English
6928086771,English
6929475639,English
6932953139,English
6934723596,English
6942100761,English
6952306992,English
6975276829,English
7044360182,English
7049342152,English
7049342160,English
7059163101,English
7063833246,English
7118763620,English
7118763621,English
7118763671,English
7118763684,English
7186183559,English
7187191926,English
7189659666,English
7194719052,English
7195463142,English
7197157986,English
7204212085,English
7232799225,English
7262375300,English
7290585690,Spanish
7293908898,English
7353841817,English
7360671663,English
7362986145,English
7367588903,English
7381428668,English
7386826221,English
7388438240,English
7388583901,English
7402796624,English
7438596475,English
7438596476,English
7469279515,English
7469281719,English
7500406646,English
7510934887,English
7515561548,English
7538084646,English
7538934083,English
7610451650,English
7616811988,English
7645231785,English
7664528975,English
7699227419,English
7770530602,English
7770564510,English
7800429122,English
7807681083,English
7828942301,English
7832580979,English
7844300686,English
7911087237,English
7939990892,English
7952309667,English
7969265932,English
7969265941,English
7994226089,English
7997094980,English
8061064809,English
8068292423,English
8080392568,English
8086171188,English
8105637584,English
8106155024,English
8137885819,English
8148501479,English
8155792177,English
8169459035,English
8178748737,English
8178753525,English
8178753643,English
8186553039,English
8194773638,English
8194773639,English
8210373441,English
8230497387,English
8230497388,English
8230497389,English
8234036099,English
8246190622,English
8287033198,English
8287033199,English
8287033201,English
8323438657,English
8326461666,English
8326461715,English
8326462429,English
8326462693,English
8326463534,English
8326463870,English
8334144665,English
8362852718,English
8430643074,English
8436795801,English
8451604477,English
8451604478,English
8498558509,English
8500893089,English
8524484634,English
8525574809,English
8525574810,English
8557587798,English
8559114216,English
8570863275,English
8644770135,English
8667937342,English
8670140491,English
8683839162,English
8689789262,English
8691920758,English
8716371455,English
8716371456,English
8716371597,English
8716371607,English
8731326767,English
8731329713,English
8736065356,English
8750025355,English
8761721184,English
8770350770,English
8812749032,English
8839959715,English
8858886409,English
8880777916,English
8881513782,English
8886920656,English
8892988065,English
8903892915,English
8906304070,English
8941048363,English
8942622939,English
8942623395,English
8942636561,English
8958041512,English
8983162721,English
8995431339,English
8995486496,English
8997953039,English
9010064787,English
9011151001,English
9061568763,English
9081734968,English
9126714053,English
9129035422,English
9145641227,English
9145641228,English
9168474997,English
9177465481,English
9177465549,English
9180305969,English
9180305971,English
9180305972,English
9231483988,English
9231494497,English
9231494500,English
9259715162,English
9276339390,English
9308934845,English
9309448195,English
9314360862,English
9315770647,English
9331689530,English
9337632364,English
9358252600,English
9358252757,English
9358252772,English
