"Name","Number_of_Books"
Ernest A. Wallis--Translated Budge,1
Ernest Alfred Thompson Wallis Budge,23
Ernest Alfred Wallis Budge,14
Ernest Alfred Wallis Budge Palladius Athanasius,1
Ernest Alfred Wallis E A Wallis Budge,1
Ernest Budge,1
Ernest Wallis Budge,1
Esq. E.A. Wallis Budge,2
Eth Clifford,1
Etzensberger R,1
Etzensberger R.,1
Evan M. Berman,1
Evangeline / Lin Carter Walton,1
Evangeline Walton,5
Evelyn E. Smith,1
F. A. Wallis Budge.,1
F. Marion Crawford,1
F.D. Sherman,1
Famous Fantastic Mysteries,5
Fantasies Mcgill,2
Fantastic Story),2
Fantastic Universe),1
Fletcher Pratt,3
Foreword By),4
Fox B. Holden,1
Frances Baker Mason,1
Francis Bacon,1
Francis Stevens,2
Frank Belknap Carter Lin / Long,1
Frank Gruber,1
Frank Thomas,2
Fred Saberhagen,2
Frederik Pohl,2
Fredric Brown,10
Fritz Leiber,31
Frw),2
G G Pendarves Robert E Howard,2
G. Fred Asbell M.R. James,4
G. McDonald Wallis,1
G. Mcdonald Wallis/Leigh Brackett,1
G. Mcdonald/Brackett Wallis,1
Gardner F. Fox,18
Gardner Fox,2
Gardner Raymond Dozois,3
George,1
George Gordon Byron Byron John William Polidori,1
George Gordon Elizabeth Barrett Browning,3
George H / Lin Carter Smith,1
George H. / Carter Smith,1
George H. / Lin Carter Smith,1
George H. Johnston,1
George H. Smith,5
George Harmon / Mcculley Coxe,1
George Lipscomb,1
George Lucas,6
George O. Smith,1
George Orwell,20
George Orwell Sparknotes,4
George R. Price,1
George Sanders,3
Gerald Vance,1
Gernsback,1
Gernsback Hugo Und Übers. Von Fritz Steinbeck,1
Gertrude Barrows Bennett,2
Gladys Gordon Trenery,1
Glenda Bendure,2
Glyn Jones,1
Gordon Eklund,2
Gordon Maccreagh,1
Gordon R Dickson Godwin,1
Gordon R. Dickson,2
Grace F. Knoche Helena Petrovna Blavatsky,2
Graham Mcnamee,1
Grant.Includes.Rinehart Overton,2
Great Stories By Leigh Brackett Donald A. Wollheim Editor,2
Guy R. Williams,1
Gwyneth Lewis,1
H Andersen,1
H G Wells,3
H Lovecraft,1
H P Lovecraft,9
H-P Lovecraft,1
H-P Lovecraft August Derleth,2
H. G. Wells,18
H. H. Munro,1
H. L. Mencken,1
H. Lawrence Hoffman August William Derleth,1
H. P Lovecraft,4
H. P.,5
H. P. (Jones Lovecraft,1
H. P. / Lin Carter Lovecraft,1
H. P. Blavatsky,30
H. P. Lovecraft,57
H. P. Lovercraft,1
H. P. With August Derleth Lovecraft,2
H. P./ Chambers Lovecraft,2
H. Rider Haggard,1
H.C. Andersen,2
H.G.,1
H.G. Wells,3
H.G. Wells Edited By Donald A. Wollheim With Stories By August Derleth,1
H.P Lovecraft,1
H.P Lovercraft August Derleth,1
H.P. : Derleth Lovecraft,2
H.P. Blavatsky,2
H.P. Derleth Lovecraft,1
H.P. Loveccraft,1
H.P. Lovecraft,35
H.P. Lovecraft Y August Derleth,1
H.P. Lovecraft: August Derleth,1
H.P. Ty Derleth Lovecraft,1
H.P./ Derleth Lovecraft,1
H.P.And August Derleth Lovecraft,1
Hal Cantor,2
Hamilton Edmond,1
Hannes Bok Lin Carter,6
Hans Stefan Santesson,1
Harlan / Carter Ellison,3
Harlan / Derleth Ellison,1
Harlan / Lin Carter Ellison,2
Harlan Carter Ellison,1
Harlan Ellison,4
Harold Macgrath Macgrath Harold Macgrath,1
Harold Vinal,1
Harry Edward Soyster William J Boykin,1
Harry Harrison,1
Hazel Ed. Includes Felleman,1
Helen Nielsen,1
Helen Sewell,3
Helen Tono,1
Helena Blavatsky,33
Helena P Blavatsky,9
Helena P.,1
Helena P. Blavatsky,35
Helena P. Blavatsky: Comentados Por Mario Roso De Luna,1
Helena P. Radda-Bai Blavatsky,1
Helena P. Und Arthur Blavatsky,1
Helena Pe Blavatsky,6
Helena Petrouna Blavatsky,1
Helena Petrova Blavatsky,12
Helena Petrovka,1
Helena Petrovn Blavatsky,4
Helena Petrovna Blavatsky,115
Helena Petrovna. Blavatsky,1
Helena Petrovna] Murphet Blavatsky,2
Helena Petrowa Blavatsky,1
Helena Petrowna Blavatsky,4
Helena Pretrovna Blavatsky,2
Helena-Petrovna. Revisee Blavatsky,1
Henrik Pontoppidan,1
Henry A Wallace,1
Henry Brook Arthur Conan Doyle,1
Henry David Thoreau,21
Henry Gade,1
Henry James,13
Henry James Jr.,1
Henry Kuttner,3
Henry Mazzeo,1
Henry Miller,1
Henry Smith,1
Henry Wheaton Andrew Crichton,2
Herbert W. Armstrong,1
Herbert Whyte,1
Herman Melville,20
Horace Walpole,1
Horace Walpole E. F. Bleiler,1
Howard,2
Howard E. Butler Robert T. Amsden,6
Howard P. Lovecraft,2
Howard P. Und August Derleth Lovecraft,1
Howard Phillips Lovecraft,5
Howard Phillips Lovecraft Y August Derleth,1
Hpb,1
Hugh Pentecost,3
Hugo Gernsback,18
I. M. Richardson,1
Iain M. Banks,1
Idris Seabright,5
Ignatius ) Ridge Donnelly,2
Ignatius / Edited By Egerton Sykes Donnelly,1
Ignatius : Sykes Donnelly,1
Ignatius Donnelly,225
Ignatius Donnelly.,2
Ignatius L Donnelly,1
Ignatius L. Donnelly,4
Ignatius Loyola Donnelly,3
Ignatius. Donnelly,14
Ignatius. Sykes Donnelly,2
Ignatius|Egerton Sykes Donnelly,1
Illustrations),2
Illustrator),1
Includes Clark Ashton Smith Anthology Edited By Charles M. Collins,1
Inger Ejskjær,1
Introduction,2
Isaac Asimov,7
Ivor Bertram John,2
J M Landels,1
